Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000038253;CON__REFSEQ:XP_932229	CON__ENSEMBL:ENSBTAP00000038253	9;1	1;0	1;0		2	9	1	1	9	9	8	9	8	9	1	1	1	1	1	1	1	1	1	1	1	1	12.9	1.8	1.8	63.165	606	606;345	0.0015736	7.908	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	12.9	12.9	12.4	12.9	11.4	12.9	3497500	1000200	456520	1020300	100530	82959	836950	0	0	0	0	0	669370	1	0	1	0	0	0	2			+	10	571;1198;1968;3916;4407;5457;6309;6310;6848	False;False;False;False;False;True;False;False;False	578;1218;1996;3972;4473;5563;6431;6432;6976	3402;3403;3404;3405;3406;3407;7227;7228;7229;7230;7231;7232;7233;11769;11770;11771;11772;11773;11774;23912;23913;23914;23915;23916;23917;23918;23919;26939;26940;26941;26942;26943;26944;26945;26946;26947;26948;33559;33560;33561;33562;33563;33564;38807;38808;38809;38810;38811;38812;38813;38814;38815;38816;38817;38818;38819;38820;38821;38822;38823;38824;42144;42145;42146;42147;42148	3437;3438;3439;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;11767;11768;11769;11770;11771;11772;11773;11774;11775;11776;11777;11778;23989;23990;23991;23992;23993;23994;23995;23996;23997;23998;23999;24000;24001;24002;26989;26990;26991;26992;26993;26994;26995;26996;26997;26998;26999;27000;27001;27002;27003;27004;27005;27006;27007;27008;33744;33745;38904;38905;38906;38907;38908;38909;38910;38911;38912;38913;38914;38915;38916;38917;38918;38919;38920;38921;38922;38923;38924;38925;38926;38927;38928;38929;38930;42208;42209	3438;7472;11778;23999;26998;33744;38905;38921;42209		
CON__P00735	CON__P00735	6	6	6		1	6	6	6	6	5	6	6	5	4	6	5	6	6	5	4	6	5	6	6	5	4	14.1	14.1	14.1	70.505	625	625	0	42.178	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.1	10.9	14.1	14.1	12.8	9.6	51987000	11580000	6184700	6910100	14336000	7141000	5835200	14860000	6909100	5434200	11986000	5407800	6251900	4	1	2	4	1	1	13			+	11	3509;4143;5820;6993;7720;8110	True;True;True;True;True;True	3564;4207;5933;7125;7872;8270	21348;21349;21350;21351;25300;25301;25302;25303;25304;25305;35790;35791;35792;35793;35794;35795;43046;43047;43048;43049;43050;43051;47756;47757;47758;47759;50191;50192;50193;50194;50195;50196	21578;21579;25356;35877;43083;43084;43085;43086;43087;43088;48122;48123;50509	21579;25356;35877;43086;48122;50509		
XX|TRYP_PIG|;CON__P00761	XX|TRYP_PIG|;CON__P00761	5;5	5;5	5;5	;	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	25.1	25.1	25.1	24.409	231	231;231	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.1	25.1	25.1	25.1	25.1	25.1	36523000000	6255300000	5460000000	9255300000	3654000000	6185300000	5712900000	6374600000	6276800000	8942600000	2809900000	5731400000	4720800000	60	61	73	43	57	48	342			+	12	3186;3187;4144;4685;7154	True;True;True;True;True	3233;3234;3235;4208;4755;7292	19364;19365;19366;19367;19368;19369;19370;19371;19372;19373;19374;19375;19376;19377;19378;19379;19380;19381;19382;19383;19384;19385;19386;19387;19388;19389;25306;25307;25308;25309;25310;25311;25312;25313;25314;25315;25316;25317;25318;25319;25320;25321;25322;25323;25324;25325;28599;28600;28601;28602;28603;28604;28605;44119;44120;44121;44122;44123;44124;44125;44126;44127;44128;44129;44130;44131;44132;44133;44134;44135;44136;44137;44138;44139;44140;44141;44142;44143;44144;44145;44146;44147;44148;44149;44150;44151;44152;44153;44154;44155;44156;44157;44158;44159;44160;44161;44162;44163;44164;44165;44166;44167;44168;44169;44170;44171;44172;44173;44174;44175;44176;44177;44178;44179;44180;44181;44182;44183;44184;44185;44186;44187;44188;44189;44190;44191;44192;44193;44194;44195;44196;44197;44198;44199;44200;44201;44202;44203;44204;44205;44206;44207;44208;44209;44210;44211;44212;44213;44214;44215;44216;44217;44218;44219;44220;44221;44222;44223;44224;44225;44226;44227;44228;44229;44230;44231;44232;44233;44234;44235;44236;44237;44238;44239;44240;44241;44242;44243;44244;44245;44246;44247;44248;44249;44250	19618;19619;19620;19621;19622;19623;19624;19625;19626;19627;19628;19629;19630;19631;19632;19633;19634;19635;19636;19637;19638;19639;19640;19641;19642;19643;19644;19645;19646;19647;19648;19649;25357;25358;25359;25360;25361;25362;25363;25364;25365;25366;25367;25368;25369;25370;25371;25372;25373;25374;25375;25376;25377;25378;25379;25380;25381;25382;25383;25384;25385;25386;25387;25388;25389;25390;25391;25392;25393;25394;25395;25396;28580;28581;28582;28583;28584;28585;28586;28587;28588;28589;28590;28591;44177;44178;44179;44180;44181;44182;44183;44184;44185;44186;44187;44188;44189;44190;44191;44192;44193;44194;44195;44196;44197;44198;44199;44200;44201;44202;44203;44204;44205;44206;44207;44208;44209;44210;44211;44212;44213;44214;44215;44216;44217;44218;44219;44220;44221;44222;44223;44224;44225;44226;44227;44228;44229;44230;44231;44232;44233;44234;44235;44236;44237;44238;44239;44240;44241;44242;44243;44244;44245;44246;44247;44248;44249;44250;44251;44252;44253;44254;44255;44256;44257;44258;44259;44260;44261;44262;44263;44264;44265;44266;44267;44268;44269;44270;44271;44272;44273;44274;44275;44276;44277;44278;44279;44280;44281;44282;44283;44284;44285;44286;44287;44288;44289;44290;44291;44292;44293;44294;44295;44296;44297;44298;44299;44300;44301;44302;44303;44304;44305;44306;44307;44308;44309;44310;44311;44312;44313;44314;44315;44316;44317;44318;44319;44320;44321;44322;44323;44324;44325;44326;44327;44328;44329;44330;44331;44332;44333;44334;44335;44336;44337;44338;44339;44340;44341;44342;44343;44344;44345;44346;44347;44348;44349;44350;44351;44352;44353;44354;44355;44356;44357;44358;44359;44360;44361;44362;44363;44364;44365;44366;44367;44368;44369;44370;44371;44372;44373;44374;44375;44376;44377;44378;44379;44380;44381;44382;44383;44384;44385;44386;44387;44388;44389;44390;44391;44392;44393;44394;44395;44396;44397;44398;44399;44400;44401;44402;44403;44404;44405;44406;44407;44408;44409;44410;44411;44412;44413;44414;44415;44416;44417;44418;44419;44420;44421;44422;44423;44424;44425;44426;44427;44428;44429;44430;44431;44432;44433;44434;44435	19642;19649;25361;28591;44429	3	94
CON__P00978	CON__P00978	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.4	3.4	3.4	39.234	352	352	0.0015408	7.4891	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	3.4	3.4	3.4	3.4	3.4	3.4	5673800	1226500	716480	709870	1522600	629980	868320	0	0	0	0	0	694460	1	0	0	1	0	0	2			+	13	6576	True	6702	40479;40480;40481;40482;40483;40484	40494;40495	40494		
CON__P01045-1;CON__P01044-1	CON__P01045-1;CON__P01044-1	6;6	6;6	1;1	;	2	6	6	1	6	5	5	6	6	5	6	5	5	6	6	5	1	1	1	1	1	1	11.5	11.5	3.6	68.709	619	619;621	0	58.79	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.5	10	10	11.5	11.5	10	173570000	42942000	14524000	17188000	62114000	18674000	18132000	48216000	17361000	15214000	55025000	16518000	13723000	8	3	5	6	3	6	31			+	14	1660;4950;6153;6381;6663;8159	True;True;True;True;True;True	1686;5028;5029;6273;6505;6789;8319	9979;9980;9981;9982;9983;9984;30250;30251;30252;30253;30254;30255;30256;30257;37774;37775;37776;39235;39236;39237;39238;39239;39240;41022;41023;41024;41025;41026;41027;50490;50491;50492;50493;50494;50495	10005;10006;30332;30333;30334;30335;30336;30337;30338;30339;37826;37827;39314;39315;39316;39317;39318;39319;39320;39321;39322;39323;39324;39325;39326;41005;41006;41007;41008;41009;41010;50804	10006;30339;37826;39320;41009;50804	4	64
CON__P01966	CON__P01966	4	4	2		1	4	4	2	4	3	3	4	3	3	4	3	3	4	3	3	2	1	1	2	1	1	43.7	43.7	26.1	15.184	142	142	0	65.236	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.7	33.1	33.1	43.7	33.1	33.1	441210000	50496000	33979000	142490000	111220000	55263000	47753000	46462000	44428000	136970000	101950000	47752000	37876000	9	9	13	8	8	11	58			+	15	694;4990;7095;7310	True;True;True;True	703;5071;5072;7231;7451	4137;4138;4139;4140;4141;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;4153;30475;30476;30477;30478;30479;30480;30481;30482;30483;30484;43745;43746;43747;43748;43749;43750;43751;43752;43753;43754;43755;43756;45232;45233	4242;4243;4244;4245;4246;4247;4248;4249;4250;4251;4252;4253;4254;4255;4256;4257;4258;4259;4260;4261;30507;30508;30509;30510;30511;30512;30513;30514;30515;30516;30517;30518;43809;43810;43811;43812;43813;43814;43815;43816;43817;43818;43819;43820;43821;43822;43823;43824;43825;43826;43827;43828;43829;43830;43831;43832;43833;45429	4253;30510;43825;45429	5	33
sp|P02533|K1C14_HUMAN;CON__P02533;CON__Q6IFX2;CON__A2A4G1;sp|P19012|K1C15_HUMAN;CON__P19012;sp|P08727|K1C19_HUMAN;CON__P08727;CON__Q61782;sp|P35900|K1C20_HUMAN;CON__P35900;CON__Q9D312	sp|P02533|K1C14_HUMAN;CON__P02533	25;25;10;7;5;5;4;4;3;1;1;1	20;20;9;2;3;3;2;2;3;1;1;1	13;13;5;0;0;0;0;0;2;0;0;0	;	12	25	20	13	22	23	20	24	19	21	18	18	15	19	14	16	11	11	9	12	9	10	51.9	46.6	32.2	51.561	472	472;472;452;456;456;456;400;400;93;424;424;431	0	229.8	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	48.9	48.9	47.7	51.9	47.2	46.8	397930000	143420000	40485000	17892000	121760000	45204000	29167000	143850000	45639000	22102000	97809000	49312000	24602000	21	9	3	18	12	9	72			+	16	106;107;108;370;521;611;769;770;1715;2592;3287;3871;3957;4324;5102;5768;5923;6660;6813;6914;6986;7425;7711;7712;7713	True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;False;False;False	107;108;109;375;528;619;779;780;1741;2629;2630;3338;3927;4015;4390;5194;5879;6038;6786;6940;7044;7045;7118;7570;7862;7863;7864	655;656;657;658;659;660;661;662;663;664;665;666;2186;2187;2188;2189;2190;2191;3119;3120;3121;3122;3123;3124;3658;3659;3660;3661;4618;4619;4620;4621;4622;4623;4624;4625;10311;10312;10313;10314;15600;15601;15602;15603;15604;15605;15606;15607;15608;15609;15610;15611;20038;20039;20040;20041;20042;20043;20044;20045;20046;20047;20048;20049;23646;23647;23648;23649;23650;23651;23652;24182;24183;24184;24185;24186;24187;26441;26442;26443;26444;26445;26446;31184;31185;31186;31187;31188;31189;35433;35434;35435;36446;36447;36448;36449;36450;41007;41008;41009;41010;41011;41012;41931;41932;41933;41934;42539;42540;42541;42542;42543;42544;42545;42546;42547;42548;42549;42550;42551;42552;42553;42554;43009;43010;43011;43012;43013;43014;45976;45977;45978;45979;45980;45981;47687;47688;47689;47690;47691;47692;47693;47694;47695;47696;47697;47698;47699;47700;47701;47702;47703;47704;47705;47706;47707	731;732;733;734;735;736;2235;2236;2237;2238;2239;3185;3186;3187;3188;3189;3725;4728;4729;4730;4731;4732;4733;4734;4735;10307;15704;15705;15706;15707;15708;15709;20293;20294;20295;20296;20297;20298;20299;23722;23723;23724;23725;23726;23727;24282;26471;26472;26473;26474;26475;31244;31245;31246;31247;31248;31249;35523;36470;40991;41973;42638;42639;42640;42641;42642;43055;46225;46226;46227;46228;46229;46230;46231;46232;46233;46234;46235;46236;48052;48053;48054;48055;48056;48057;48058;48059;48060;48061;48062;48063;48064;48065;48066;48067	731;732;733;2236;3185;3725;4730;4733;10307;15706;20293;23723;24282;26474;31245;35523;36470;40991;41973;42640;43055;46230;48052;48058;48063	6;7	272;351
sp|P02538|K2C6A_HUMAN;CON__P02538;CON__P07744;sp|P19013|K2C4_HUMAN;CON__P19013;CON__Q9DCV7;sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729;sp|P05787|K2C8_HUMAN;CON__P05787;CON__Q9H552;XX|KRHB4_HUMAN|;sp|Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0	sp|P02538|K2C6A_HUMAN;CON__P02538	16;16;3;2;2;1;1;1;1;1;1;1;1;1;1;1	7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	;	16	16	7	1	15	15	14	16	11	10	6	6	6	7	3	3	1	1	1	1	1	1	33.3	20	3.5	60.044	564	564;564;525;534;594;457;469;469;469;483;483;499;600;600;600;600	0	119.25	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	31.2	31.2	33.3	33.3	20	20	86848000	16145000	11374000	14057000	39881000	3072600	2318700	16337000	11073000	7244200	40553000	5886200	5241100	4	3	2	8	0	0	17			+	17	125;280;454;571;1139;1823;2532;3916;3917;5284;5679;5727;5728;6433;7908;7963	True;True;True;False;True;False;True;False;False;False;False;False;False;True;False;True	127;283;459;578;1159;1850;2569;3972;3973;5385;5790;5838;5839;6558;8063;8119	763;764;765;766;767;768;1612;1613;1614;1615;2710;2711;2712;2713;3402;3403;3404;3405;3406;3407;6871;6872;6873;6874;6875;6876;10932;10933;10934;10935;10936;10937;15228;15229;15230;15231;15232;15233;15234;15235;15236;15237;23912;23913;23914;23915;23916;23917;23918;23919;23920;23921;23922;23923;23924;23925;32404;32405;32406;32407;32408;32409;32410;32411;32412;32413;32414;32415;34890;34891;34892;34893;34894;35170;35171;35172;35173;35174;35175;35176;35177;35178;35179;35180;35181;39557;39558;48920;48921;48922;48923;48924;48925;49266;49267;49268	831;832;833;834;835;836;837;1659;1660;2813;2814;2815;3437;3438;3439;7093;10926;10927;10928;10929;10930;10931;10932;10933;15349;15350;23989;23990;23991;23992;23993;23994;23995;23996;23997;23998;23999;24000;24001;24002;24003;24004;24005;24006;24007;24008;24009;32568;32569;32570;32571;32572;32573;32574;32575;32576;32577;32578;32579;32580;32581;32582;32583;32584;32585;32586;32587;32588;32589;35114;35115;35116;35317;35318;35319;35320;35321;35322;35323;35324;35325;35326;35327;35328;35329;35330;35331;35332;35333;35334;39607;49237;49238;49239;49240;49241;49242;49243;49244;49628	837;1660;2813;3438;7093;10928;15349;23999;24006;32571;35115;35317;35329;39607;49244;49628		
CON__P02662;XX|CAS1_BOVIN|	CON__P02662;XX|CAS1_BOVIN|	1;1	1;1	1;1	;	2	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	6	6	6	22.975	199	199;214	0.0037425	6.9468	By matching		By matching	By matching	By MS/MS		6	0	6	6	6	0	3536600	832290	0	245230	1100900	1358200	0	0	0	0	0	1323300	0	0	0	0	0	1	0	1			+	18	1899	True	1927	11392;11393;11394;11395	11409	11409		
XX|ALBU_HUMAN|;sp|P02768|ALBU_HUMAN;CON__P02768-1	XX|ALBU_HUMAN|;sp|P02768|ALBU_HUMAN;CON__P02768-1	8;8;8	5;5;5	5;5;5	;;	3	8	5	5	8	8	8	8	8	8	5	5	5	5	5	5	5	5	5	5	5	5	13.3	9.7	9.7	69.366	609	609;609;609	0	43.567	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.3	13.3	13.3	13.3	13.3	13.3	113300000	19282000	20101000	26000000	14614000	14961000	18340000	16342000	18770000	19501000	15080000	15381000	12608000	7	9	9	6	7	9	47			+	19	717;3849;4751;4799;5781;7258;7604;8092	True;False;True;True;True;True;False;False	727;3905;4821;4871;5892;7398;7755;8249	4304;4305;4306;4307;4308;4309;4310;4311;4312;4313;4314;4315;23495;23496;23497;23498;23499;23500;23501;23502;23503;23504;23505;23506;23507;23508;23509;23510;23511;23512;23513;23514;23515;23516;23517;23518;23519;23520;23521;23522;28982;28983;28984;28985;28986;28987;29311;29312;29313;29314;29315;29316;35519;35520;35521;35522;35523;35524;44894;44895;44896;44897;44898;44899;47063;47064;47065;47066;47067;47068;47069;47070;47071;47072;47073;47074;50071;50072;50073;50074;50075;50076;50077;50078;50079;50080;50081;50082	4443;4444;4445;4446;4447;4448;4449;4450;4451;4452;4453;4454;4455;4456;4457;4458;4459;4460;4461;4462;4463;4464;23552;23553;23554;23555;23556;23557;23558;23559;23560;23561;23562;23563;23564;23565;23566;23567;23568;23569;23570;23571;23572;23573;23574;23575;23576;23577;23578;23579;23580;23581;23582;23583;23584;23585;23586;23587;23588;23589;23590;23591;23592;23593;23594;28928;28929;28930;28931;28932;28933;28934;29344;29345;29346;29347;29348;29349;29350;29351;29352;29353;29354;29355;35629;35630;35631;45113;45114;45115;47413;47414;47415;47416;47417;47418;47419;47420;47421;47422;47423;47424;47425;47426;47427;47428;50392;50393;50394;50395;50396;50397;50398;50399;50400;50401;50402;50403;50404;50405;50406;50407;50408;50409;50410;50411;50412	4457;23574;28934;29355;35629;45114;47422;50412	8	572
XX|ALBU_BOVIN|;CON__P02769	XX|ALBU_BOVIN|;CON__P02769	22;22	22;22	19;19	;	2	22	22	19	21	20	20	20	19	20	21	20	20	20	19	20	18	17	17	17	16	17	28.8	28.8	27.7	69.293	607	607;607	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.8	28.3	28.3	28.3	26.4	28.3	19868000000	3800800000	2176400000	2366400000	5675600000	2929700000	2919200000	3307200000	2336600000	2418600000	6350100000	2609900000	2164100000	69	48	53	60	54	55	339			+	20	138;139;775;776;788;1946;2861;2883;2888;3798;3849;4148;4149;4798;4847;5780;5888;5890;7066;7604;8092;8182	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	140;141;785;786;798;1974;2902;2924;2930;3854;3905;4212;4213;4870;4919;5891;6003;6005;7200;7755;8249;8342	846;847;848;849;850;851;852;853;854;855;856;857;858;4657;4658;4659;4660;4661;4662;4663;4664;4665;4666;4667;4735;4736;4737;4738;4739;4740;4741;4742;4743;4744;4745;4746;11664;11665;11666;11667;11668;11669;17333;17334;17335;17336;17337;17338;17339;17340;17341;17342;17343;17344;17470;17471;17472;17473;17474;17475;17476;17477;17478;17479;17480;17481;17505;17506;17507;17508;17509;17510;17511;17512;17513;17514;17515;17516;23155;23156;23157;23158;23159;23160;23495;23496;23497;23498;23499;23500;23501;23502;23503;23504;23505;23506;23507;23508;23509;23510;23511;23512;23513;23514;23515;23516;23517;23518;23519;23520;23521;23522;25355;25356;25357;25358;25359;25360;25361;25362;25363;25364;25365;25366;25367;25368;25369;25370;29305;29306;29307;29308;29309;29310;29623;29624;29625;29626;29627;29628;35507;35508;35509;35510;35511;35512;35513;35514;35515;35516;35517;35518;36228;36229;36230;36231;36232;36233;36246;36247;36248;36249;36250;36251;36252;36253;36254;36255;36256;36257;36258;36259;36260;36261;36262;36263;43531;43532;43533;43534;43535;43536;43537;43538;47063;47064;47065;47066;47067;47068;47069;47070;47071;47072;47073;47074;50071;50072;50073;50074;50075;50076;50077;50078;50079;50080;50081;50082;50616	935;936;937;938;939;940;941;942;943;944;945;946;947;948;949;950;951;4761;4762;4763;4764;4765;4766;4767;4768;4769;4770;4771;4772;4773;4774;4775;4776;4777;4778;4779;4780;4781;4782;4783;4784;4785;4786;4787;4788;4789;4790;4791;4792;4793;4794;4795;4796;4797;4798;4799;4893;4894;4895;4896;4897;4898;4899;4900;4901;4902;4903;4904;4905;4906;11695;11696;11697;11698;11699;17388;17389;17390;17391;17392;17393;17394;17395;17396;17397;17398;17399;17400;17401;17402;17403;17404;17405;17406;17407;17408;17409;17410;17531;17532;17533;17534;17535;17536;17537;17538;17539;17540;17541;17542;17543;17544;17584;17585;17586;17587;17588;17589;17590;17591;17592;17593;17594;17595;17596;17597;17598;17599;17600;17601;17602;23233;23234;23235;23236;23237;23238;23239;23240;23552;23553;23554;23555;23556;23557;23558;23559;23560;23561;23562;23563;23564;23565;23566;23567;23568;23569;23570;23571;23572;23573;23574;23575;23576;23577;23578;23579;23580;23581;23582;23583;23584;23585;23586;23587;23588;23589;23590;23591;23592;23593;23594;25423;25424;25425;25426;25427;25428;25429;25430;25431;25432;25433;25434;25435;25436;25437;25438;25439;25440;25441;25442;25443;29329;29330;29331;29332;29333;29334;29335;29336;29337;29338;29339;29340;29341;29342;29343;29673;29674;29675;29676;29677;29678;29679;29680;29681;35608;35609;35610;35611;35612;35613;35614;35615;35616;35617;35618;35619;35620;35621;35622;35623;35624;35625;35626;35627;35628;36275;36276;36277;36278;36279;36280;36281;36282;36283;36284;36285;36286;36287;36288;36289;36290;36291;36292;36293;36305;36306;36307;36308;36309;36310;36311;36312;36313;36314;36315;36316;36317;36318;36319;36320;36321;36322;36323;36324;36325;36326;36327;36328;36329;36330;36331;36332;36333;36334;43598;43599;43600;43601;43602;43603;43604;47413;47414;47415;47416;47417;47418;47419;47420;47421;47422;47423;47424;47425;47426;47427;47428;50392;50393;50394;50395;50396;50397;50398;50399;50400;50401;50402;50403;50404;50405;50406;50407;50408;50409;50410;50411;50412;50898	949;951;4783;4799;4901;11695;17408;17537;17595;23234;23574;25424;25443;29330;29676;35619;36292;36308;43602;47422;50412;50898	9	571
